OBJECTID,TREE_ID,TREE_NUMBER,HEIGHT_M,GIRTH,AGE_CLASS,SPECIES_ID,SCIENTIFIC_NAME,POPULAR_NAME,NBN_TAXON_VERSION_KEY,EASTING,NORTHING,LATITUDE,LONGITUDE
46865,"{53BA97A7-8BCA-4E16-ABEA-2DBB9654EADA}","EASTEND175","15-20m.","0-5cm.","Mature",370,"Acer platanoides 'Crimson King'","Norway maple 'Crimson King'",,343516,731812,56.4750251337336,-2.91852797502899
46881,"{A291E538-4997-47E0-BE25-DE35129EA434}","MARYFIELD1043","10-15m.","0-5cm.","Immature",476,"Salix alba","White willow","NBNSYS0000003859",341565,732044,56.4768707884426,-2.95024653318139
46897,"{AD2BD4A7-16AB-4AAD-80F9-B7B9C3DB3EDD}","MARYFIELD1039","10-15m.","50-100cm","Immature",659,"Quercus cerris","European turkey oak","NBNSYS0000003843",341543,732041,56.4768411063559,-2.95060295589117
46913,"{CBD86CB6-49F9-41BD-AFB0-37340F85EDAC}","MARYFIELD1044","10-15m.","0-5cm.","Immature",476,"Salix alba","White willow","NBNSYS0000003859",341558,732042,56.4768519532036,-2.95035970573119
46929,"{7BEBBE6E-F492-4E96-99BC-AFEDE56B04CF}","MARYFIELD1048","5-10m.","50-100cm","Immature",580,"Prunus serotina","Black cherry","NBNSYS0000014213",341598,732055,56.4769736974969,-2.94971335651964
46945,"{BF0A0F67-0E5D-4A3A-8C0A-038DEA193017}","STRATHMARTINE164","20-25m.","50-100cm","Mature",649,"Fraxinus excelsior","European ash","NBNSYS0000003949",335888,732709,56.4821046335038,-3.04255530637889
47025,"{77E32540-8AE6-4A99-B930-DC3ECEA46738}","STRATHMARTINE176","20-25m.","100-150cm","Mature",597,"Austrocedrus chilensis","Chilean incense cedar","NHMSYS0000494773",335942,733004,56.4847618242809,-3.04175132015093
47041,"{E5C96DAE-A746-4462-85B5-5C468BCB4260}","STRATHMARTINE178","20-25m.","100-150cm","Mature",632,"Cedrus deodara","Deodar","NHMSYS0000457002",335945,733026,56.4849598475216,-3.04170803236367
47057,"{E4E0A971-39F3-47D9-BBD1-3DBBCCBA2409}","STRATHMARTINE175","20-25m.","150-200cm","Mature",596,"Cedrus libani","Cedar of lebanon","NHMSYS0000457003",335918,733011,56.4848214318805,-3.04214267392392
47073,"{495840B5-91FC-4F13-B1A2-FECA1637147B}","STRATHMARTINE177","20-25m.","100-150cm","Mature",379,"Picea orientalis","Oriental spruce","NBNSYS0000042149",335952,733008,56.4847991162531,-3.04158995898095
47089,"{3509AEC9-93C9-48E5-9EDB-744841A0A54B}","STRATHMARTINE179","15-20m.","50-100cm","Mature",561,"Fagus sylvatica 'Atropurpurea'","Copper Beech",,335959,733012,56.4848359994889,-3.04147730132245
47105,"{EA942EC7-4D3A-4AA4-BD55-DEC8CC2EC65C}","STRATHMARTINE180","15-20m.","50-100cm","Mature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",335968,733016,56.4848731549477,-3.04133217419198
47121,"{7C15ADBA-345D-4E60-AD34-37A5F34EF89A}","STRATHMARTINE181","20-25m.","100-150cm","Mature",651,"Fagus sylvatica","European beech","NBNSYS0000003840",335975,733017,56.4848830905007,-3.04121877786786
47137,"{7C1EFB5E-FA59-488D-8D25-D6428E0F3699}","STRATHMARTINE182","20-25m.","50-100cm","Mature",379,"Picea orientalis","Oriental spruce","NBNSYS0000042149",335981,733021,56.4849198372696,-3.0411223542449
